Timestamp,Stock_code,Price,Changes,Volume,One_year_target
2024-03-07 20:47:16,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:47:17,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:47:18,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:47:20,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:47:21,FB,[],[],[],[]
2024-03-07 20:47:22,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:48:23,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:48:25,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:48:27,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:48:28,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:48:29,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:48:31,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:48:32,FB,[],[],[],[]
2024-03-07 20:48:33,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:49:35,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:49:38,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:49:39,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:49:40,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:49:42,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:49:43,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:49:44,FB,[],[],[],[]
2024-03-07 20:49:45,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:50:47,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:50:48,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:50:49,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:50:51,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:50:52,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:50:54,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:50:55,FB,[],[],[],[]
2024-03-07 20:50:56,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:51:57,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:51:58,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:52:00,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:52:01,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:52:02,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:52:03,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:52:04,FB,[],[],[],[]
2024-03-07 20:52:05,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:53:06,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:53:07,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:53:09,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:53:10,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:53:11,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:53:12,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:53:14,FB,[],[],[],[]
2024-03-07 20:53:15,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:54:16,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:54:17,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:54:20,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:54:21,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:54:22,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:54:24,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:54:26,FB,[],[],[],[]
2024-03-07 20:54:28,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:55:30,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:55:32,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:55:33,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:55:34,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:55:36,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:55:37,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:55:38,FB,[],[],[],[]
2024-03-07 20:55:40,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:56:41,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:56:42,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:56:43,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:56:45,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:56:46,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:56:47,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:56:49,FB,[],[],[],[]
2024-03-07 20:56:50,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:57:51,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:57:52,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:57:53,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:57:55,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:57:56,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:57:57,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:57:58,FB,[],[],[],[]
2024-03-07 20:57:59,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:59:00,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:59:01,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:59:03,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:59:04,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:59:05,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:59:06,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:59:07,FB,[],[],[],[]
2024-03-07 20:59:08,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:00:09,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:00:10,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:00:12,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:00:13,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:00:15,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:00:17,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:00:18,FB,[],[],[],[]
2024-03-07 21:00:19,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:01:21,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:01:23,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:01:24,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:01:25,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:01:26,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:01:27,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:01:29,FB,[],[],[],[]
2024-03-07 21:01:29,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:02:30,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:02:32,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:02:33,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:02:35,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:02:36,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:02:37,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:02:38,FB,[],[],[],[]
2024-03-07 21:02:39,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:03:41,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
